#,Country (or dependency),Population (2023),Yearly Change,Net Change,Density  (P/Km²),Land Area  (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
184,French Guiana,312155,2.49%,7598,4,82200,1200,3.421,24,90.30%,0%
185,French Polynesia,308872,0.85%,2593,84,3660,-100,1.681,34,59.50%,0%
186,New Caledonia,292991,1.05%,3041,16,18280,500,1.986,34,73.80%,0%
187,Barbados,281995,0.13%,360,656,430,-80,1.627,40,32.20%,0%
188,Sao Tome & Principe,231856,1.97%,4476,242,960,-600,3.682,19,76.60%,0%
189,Samoa,225681,1.48%,3299,80,2830,-1500,3.827,21,15.80%,0%
190,Curaçao,192077,0.48%,914,433,444,515,1.641,36,77.10%,0%
191,Saint Lucia,180251,0.22%,394,295,610,0,1.379,34,19.50%,0%
192,Guam,172952,0.69%,1178,320,540,-500,2.525,30,95.10%,0%
193,Kiribati,133515,1.74%,2283,165,810,-400,3.235,22,55.50%,0%
194,Grenada,126183,0.59%,745,371,340,-200,1.964,32,32.50%,0%
195,Tonga,107773,0.86%,915,150,720,-800,3.153,22,24.50%,0%
196,Seychelles,107660,0.51%,542,234,460,-200,2.289,33,53%,0%
197,Aruba,106277,-0.16%,-168,590,180,157,1.185,42,44.80%,0%
198,St. Vincent & Grenadines,103698,-0.24%,-250,266,390,-200,1.763,33,58.30%,0%
199,U.S. Virgin Islands,98750,-0.72%,-715,282,350,-450,2.1,43,N.A.,0%
200,Antigua and Barbuda,94298,0.57%,535,214,440,0,1.578,36,27.90%,0%
201,Isle of Man,84710,0.23%,191,149,570,340,1.567,46,55.20%,0%
202,Andorra,80088,0.33%,264,170,470,200,1.145,43,85%,0%
203,Dominica,73040,0.42%,303,97,750,-40,1.583,32,75%,0%
204,Cayman Islands,69310,0.88%,604,289,240,400,1.206,38,95.40%,0%
205,Bermuda,64069,-0.18%,-115,1281,50,0,1.372,46,94%,0%
206,Greenland,56643,0.31%,177,0,410450,-100,1.945,35,88.60%,0%
207,Faeroe Islands,53270,0.34%,180,38,1396,0,2.705,38,40.80%,0%
208,Northern Mariana Islands,49796,0.49%,245,108,460,-50,2.128,38,N.A.,0%
209,Saint Kitts & Nevis,47755,0.21%,98,184,260,20,1.505,35,37.80%,0%
210,Turks and Caicos,46062,0.79%,359,48,950,200,1.646,38,78.60%,0%
211,Sint Maarten,44222,0.11%,47,1301,34,0,1.565,48,96.90%,0%
212,American Samoa,43914,-0.81%,-359,220,200,-790,2.233,29,N.A.,0%
213,Marshall Islands,41996,1.03%,427,233,180,0,2.638,26,N.A.,0%
214,Liechtenstein,39584,0.65%,257,247,160,150,1.492,44,14.50%,0%
215,Monaco,36297,-0.47%,-172,24360,1,200,2.079,54,N.A.,0%
216,San Marino,33642,-0.05%,-18,561,60,100,1.148,47,99.30%,0%
217,Gibraltar,32688,0.12%,39,3269,10,-24,1.821,42,N.A.,0%
218,Saint Martin,32077,0.90%,286,605,53,0,2.359,39,0%,0%
219,British Virgin Islands,31538,0.74%,233,210,150,200,1.028,39,53%,0%
220,Caribbean Netherlands,27148,0.45%,122,83,328,100,1.649,40,74.50%,0%
221,Palau,18058,0.02%,3,39,460,-20,2.341,36,N.A.,0%
222,Cook Islands,17044,0.19%,33,71,240,-93,2.207,33,78.80%,0%
223,Anguilla,15899,0.26%,42,177,90,0,1.274,38,97.60%,0%
224,Nauru,12780,0.88%,112,639,20,-140,3.425,20,88.10%,0%
225,Wallis & Futuna,11502,-0.60%,-70,82,140,-119,1.916,37,0%,0%
226,Tuvalu,11396,0.74%,84,380,30,-60,3.105,25,68.80%,0%
227,Saint Barthelemy,10994,0.25%,27,524,21,0,1.031,40,0%,0%
228,Saint Pierre & Miquelon,5840,-0.38%,-22,25,230,0,1.565,44,N.A.,0%
229,Saint Helena,5314,-1.12%,-60,14,390,0,1.636,53,32%,0%
230,Montserrat,4386,-0.09%,-4,44,100,0,1.556,44,11.20%,0%
231,Falkland Islands,3791,0.29%,11,0,12170,0,1.585,40,61.60%,0%
232,Niue,1935,0.05%,1,7,260,0,2.39,36,40.80%,0%
233,Tokelau,1893,1.18%,22,189,10,0,2.635,27,0%,0%
234,Holy See,518,1.57%,8,1295,0,0,...,,N.A.,0%
